id_animal,data_obito,motivo_obito,morreu_fora_do_abrigo,eutanasiado,morto_ao_chegar
55465,None,Falecimento sob Cuidados,0,0,0
55466,None,Falecimento sob Cuidados,0,0,0
55468,None,Falecimento sob Cuidados,0,0,0
55469,None,Falecimento sob Cuidados,0,0,0
55470,None,Falecimento sob Cuidados,0,0,0
55473,None,Falecimento sob Cuidados,0,0,0
55475,None,Falecimento sob Cuidados,0,0,0
55475,None,Falecimento sob Cuidados,0,0,0
55476,None,Falecimento sob Cuidados,0,0,0
55477,None,Falecimento sob Cuidados,0,0,0
55478,None,Falecimento sob Cuidados,0,0,0
55479,None,Falecimento sob Cuidados,0,0,0
55482,None,Falecimento sob Cuidados,0,0,0
55484,None,Falecimento sob Cuidados,0,0,0
55485,None,Falecimento sob Cuidados,0,0,0
55485,None,Falecimento sob Cuidados,0,0,0
55490,None,Falecimento sob Cuidados,0,0,0
55493,None,Falecimento sob Cuidados,0,0,0
55495,None,Falecimento sob Cuidados,0,0,0
55495,None,Falecimento sob Cuidados,0,0,0
55496,None,Falecimento sob Cuidados,0,0,0
55496,None,Falecimento sob Cuidados,0,0,0
55497,None,Falecimento sob Cuidados,0,0,0
55497,None,Falecimento sob Cuidados,0,0,0
55498,None,Falecimento sob Cuidados,0,0,0
55498,None,Falecimento sob Cuidados,0,0,0
55499,None,Falecimento sob Cuidados,0,0,0
55499,None,Falecimento sob Cuidados,0,0,0
55500,None,Falecimento sob Cuidados,0,0,0
55501,None,Falecimento sob Cuidados,0,0,0
55502,None,Falecimento sob Cuidados,0,0,0
55503,None,Falecimento sob Cuidados,0,0,0
55504,None,Falecimento sob Cuidados,0,0,0
55504,None,Falecimento sob Cuidados,0,0,0
55505,None,Falecimento sob Cuidados,0,0,0
55506,None,Falecimento sob Cuidados,0,0,0
55509,None,Falecimento sob Cuidados,0,0,0
55510,None,Falecimento sob Cuidados,0,0,0
55511,2017-11-14 00:00:00,Mordida,0,1,0
55514,None,Falecimento sob Cuidados,0,0,0
55517,None,Falecimento sob Cuidados,0,0,0
55517,None,Falecimento sob Cuidados,0,0,0
55518,None,Falecimento sob Cuidados,0,0,0
55518,None,Falecimento sob Cuidados,0,0,0
55519,2017-05-27 00:00:00,Motivo Medico,0,1,0
55519,2017-05-27 00:00:00,Motivo Medico,0,1,0
55520,None,Falecimento sob Cuidados,0,0,0
55521,2017-08-01 00:00:00,Intratavel / Ingerenciavel,0,1,0
55524,None,Falecimento sob Cuidados,0,0,0
55525,None,Falecimento sob Cuidados,0,0,0
55525,None,Falecimento sob Cuidados,0,0,0
55526,None,Falecimento sob Cuidados,0,0,0
55530,None,Falecimento sob Cuidados,0,0,0
55531,None,Falecimento sob Cuidados,0,0,0
55532,None,Falecimento sob Cuidados,0,0,0
55534,None,Falecimento sob Cuidados,0,0,0
55535,None,Falecimento sob Cuidados,0,0,0
